id,name,ovr,rarity,image_url
70,"Kabuto Yakushi (Snake Cloak)",88,SILVER RARE,"/images/kabuto__snake_cloak__by_masonengine_d92sf2g.png"
71,"Kaguya Otsutsuki",99,GOLD RARE,"/images/kaguya_by_masonengine_d93aifc.png"
72,"Kakashi (1)",75,BRONZE,"/images/kakashi (1).png"
73,"Kakashi (2)",75,BRONZE,"/images/kakashi (2).png"
74,"Kakashi (3) Double Sharinggan",75,BRONZE,"/images/kakashi (3) double sharinggan.png"
75,"Kakashi (7) Hokage",75,BRONZE,"/images/kakashi (7) hokage.png"
76,"Kakuzu",88,SILVER RARE,"/images/kakuzu_by_masonengine_d8357u5.png"
77,"Kakuzu Reanimation",75,BRONZE,"/images/kakuzu__reanimation__by_masonengine_dc3nrky.png"
78,"Kankuro (Shippuden)",77,BRONZE,"/images/kankuro_by_masonengine_d9d6sot.png"
79,"Kankuro (War Arc)",81,SILVER RARE,"/images/kankuro__great_war_ninja__by_masonengine_d9qdt2d.png"
80,"Kankuro (Part 1)",68,BRONZE,"/images/kankuro__part_1___first_suit__by_masonengine_dcbco6b.png"
81,"Karin Uzumaki",74,BRONZE,"/images/karin_by_masonengine_d8db18z.png"
82,"Kawaki",75,BRONZE,"/images/kawaki_by_masonengine_dgiif7c.png"
83,"Kawaki Karma",75,BRONZE,"/images/kawaki__karma__by_masonengine_dg75ry8.png"
84,"Kiba Inuzuka (War Arc)",78,BRONZE,"/images/kiba (1).png"
85,"Kiba Inuzuka (Part 1)",65,BRONZE,"/images/kiba (2).png"
86,"Kiba Inuzuka (Shippuden)",75,BRONZE,"/images/kiba (3).png"
87,"Kidomaru",73,BRONZE,"/images/kidomaru_by_masonengine_dchxyjf.png"
88,"Killer Bee (Samehada)",92,GOLD RARE,"/images/killer_bee__samehada__by_masonengine_d8i8sw0.png"
89,"Kimimaro Kaguya",84,SILVER RARE,"/images/kimimaro_by_masonengine_dcc0xyo.png"
90,"Kinshiki Otsutsuki",75,BRONZE,"/images/kinshiki_otsutsuki.png"
91,"Kisame Hoshigaki",90,GOLD RARE,"/images/kisame_by_masonengine_d8i40vq.png"
92,"Koji Kashin",75,BRONZE,"/images/koji_kashin_by_masonengine_dgwfo6q.png"
93,"Konan",88,SILVER RARE,"/images/konan_by_masonengine_d8tok2b.png"
94,"Konohamaru Sarutobi (Part 1)",60,BRONZE,"/images/konohamaru (1).png"
95,"Kurenai Yuhi",78,BRONZE,"/images/kurenai (1).png"
96,"Kurotsuchi (Jonin)",79,BRONZE,"/images/kurotsuchi_by_masonengine_dckkjz5.png"
97,"Kushina Uzumaki",85,SILVER RARE,"/images/kushina.png"
98,"Madara Uchiha (Alive / EMS)",96,GOLD RARE,"/images/madara__alive__by_masonengine_daocl6g.png"
99,"Madara Reanimation Resolved",75,BRONZE,"/images/madara__reanimation_resolved__by_masonengine_d7vy5n3.png"
100,"Madara Uchiha (Six Paths)",99,GOLD RARE,"/images/madara__six_paths__by_masonengine_d8x05ro.png"
101,"Mei Terumi (5th Mizukage)",89,GOLD RARE,"/images/mei_terumi_by_masonengine_d8d6hi2.png"
102,"Mifune (Samurai Leader)",85,SILVER RARE,"/images/mifune_by_masonengine_dbwan2x.png"
103,"Minato Namikaze (4th Hokage)",96,GOLD RARE,"/images/minato (4).png"
104,"Minato (5)",75,BRONZE,"/images/minato (5).png"
105,"Minato (6)",75,BRONZE,"/images/minato (6).png"
106,"Mitsuki",78,BRONZE,"/images/mitauki (1).png"
107,"Momoshiki Otsutsuki",75,BRONZE,"/images/momoshiki_otsutsuki.png"
108,"Nagato Reanimation",75,BRONZE,"/images/nagato__reanimation__by_masonengine_d965vgd.png"
109,"Naruto Uzumaki (Base Shippuden)",80,SILVER RARE,"/images/naruto_by_masonengine_d87xn8m.png"
110,"Ashura Otsutsuki",98,GOLD RARE,"/images/naruto_shippuden____ashura_otsutsuki_by_stormgames_dcwr431.png"
111,"Indra Otsutsuki",98,GOLD RARE,"/images/naruto_shippuden____indra_otsutsuki_by_stormgames_dcreuih.png"
112,"Naruto Baryon Mode",75,BRONZE,"/images/naruto__baryon_mode__by_masonengine_dg67ve5.png"
113,"Naruto Uzumaki (Bijuu Mode)",95,GOLD RARE,"/images/naruto__biju_s_mode__by_masonengine_dbgikfz.png"
114,"Naruto Uzumaki (KCM Link)",94,GOLD RARE,"/images/naruto__kurama_link_mode__by_masonengine_d8q0d2u.png"
115,"Naruto Uzumaki (Part 1)",68,BRONZE,"/images/naruto__part_1__by_masonengine_daim8u2.png"
116,"Naruto Uzumaki (Sage Mode)",91,GOLD RARE,"/images/naruto__sage_mode__by_masonengine_d7scfab.png"
117,"Naruto Uzumaki (Six Paths Mode)",99,GOLD RARE,"/images/naruto__sage_of_the_six_paths_mode__by_masonengine_d8a5q84.png"
118,"Naruto Uzumaki (7th Hokage)",98,GOLD RARE,"/images/naruto__seventh_hokage__by_masonengine_d9tsgqe.png"
119,"Neji Hyuga (Shippuden)",82,SILVER RARE,"/images/neji (1).png"
120,"Neji Hyuga (War Arc)",85,SILVER RARE,"/images/neji (2).png"
121,"Neji (4)",75,BRONZE,"/images/neji (4).png"
122,"Obito Uchiha (Tobi)",82,SILVER RARE,"/images/obito.png"
123,"Obito Uchiha (Rampaging)",89,GOLD RARE,"/images/obito__rampaging__by_masonengine_d8t4bai.png"
124,"Obito Uchiha (Ten-Tails)",98,GOLD RARE,"/images/obito__ten_tails_jinchuriki__by_masonengine_d8u309w.png"
125,"Obito Uchiha (Unmasked)",94,GOLD RARE,"/images/obito__unmasked__by_masonengine_d7u7ejs.png"
126,"Ohnoki (3rd Tsuchikage)",91,GOLD RARE,"/images/ohnoki_by_masonengine_d8gzv0g.png"
127,"Orochimaru",92,GOLD RARE,"/images/orochimaru_by_masonengine_d8hxov2.png"
128,"Orochimaru (Akatsuki)",91,GOLD RARE,"/images/orochimaru__akatsuki_inception__by_masonengine_d7t6bsc.png"
129,"Pain (Deva Path)",95,GOLD RARE,"/images/pain_by_masonengine_damsdub.png"
130,"Ay (4th Raikage)",91,GOLD RARE,"/images/raikage__ay__haori_jacket__by_masonengine_d8gjayz.png"
131,"Rin Nohara",62,BRONZE,"/images/rin.png"
132,"Rock Lee (1)",75,BRONZE,"/images/rock lee (1).png"
133,"Rock Lee (2)",75,BRONZE,"/images/rock lee (2).png"
134,"Rock Lee (6 Gates)",88,SILVER RARE,"/images/rock lee (3).png"
135,"Roshi (Four-Tails Jinchuriki)",86,SILVER RARE,"/images/roshi_by_masonengine_d8x8yzc.png"
136,"Sai (Base)",78,BRONZE,"/images/sai (2).png"
137,"Sai (3)",75,BRONZE,"/images/sai (3).png"
138,"Sakon & Ukon",74,BRONZE,"/images/sakon_by_masonengine_dch0i8o.png"
139,"Sakura (1)",75,BRONZE,"/images/sakura (1).png"
140,"Sakura (2)",75,BRONZE,"/images/sakura (2).png"
141,"Sakura (3)",75,BRONZE,"/images/sakura (3).png"
142,"Sakura (4) Byakugo",75,BRONZE,"/images/sakura (4) byakugo.png"
143,"Iron Country Samurai",65,BRONZE,"/images/samurai_by_masonengine_dc5gkn4.png"
144,"Sarada (1)",75,BRONZE,"/images/sarada (1).png"
145,"Sarada Awakening Mode",75,BRONZE,"/images/sarada__awakening_mode__by_masonengine_dgiifdz.png"
146,"Sasori",88,SILVER RARE,"/images/sasori_by_masonengine_dcf47us.png"
147,"Sasori Reanimation",75,BRONZE,"/images/sasori__reanimation__by_masonengine_d9yvxzb.png"
148,"Sasuke (1)",75,BRONZE,"/images/sasuke (1).png"
149,"Sasuke (2) Hebi",75,BRONZE,"/images/sasuke (2) hebi.png"
150,"Sasuke (3) Black Custom",75,BRONZE,"/images/sasuke (3) black custom.png"
151,"Sasuke (4) Taka",75,BRONZE,"/images/sasuke (4) taka.png"
152,"Sasuke (5) War Arc",75,BRONZE,"/images/sasuke (5) war arc.png"
153,"Sasuke (6) Rinne Sharinggan",75,BRONZE,"/images/sasuke (6) rinne sharinggan.png"
154,"Sasuke (7) Support Kage",75,BRONZE,"/images/sasuke (7) support kage.png"
155,"Shikamaru (1)",75,BRONZE,"/images/shikamaru (1).png"
156,"Shikamaru Nara (War Arc Chief)",85,SILVER RARE,"/images/shikamaru (2).png"
157,"Shikamaru Nara (Part 1)",70,BRONZE,"/images/shikamaru (3).png"
158,"Shino (1)",75,BRONZE,"/images/shino (1).png"
159,"Shino Aburame (War Arc)",80,SILVER RARE,"/images/shino (2).png"
160,"Shino Aburame (Part 1)",68,BRONZE,"/images/shino (3).png"
161,"Shisui Uchiha",94,GOLD RARE,"/images/shisui.png"
162,"Shizune",76,BRONZE,"/images/shizune.png"
163,"Suigetsu Hozuki",80,SILVER RARE,"/images/suigetsu_by_masonengine_d8dul9t.png"
164,"Tayuya",73,BRONZE,"/images/tayuya_by_masonengine_dchd6a4.png"
165,"Temari (Shippuden)",79,BRONZE,"/images/temari_by_masonengine_d85kj3g.png"
166,"Temari (War Arc)",82,SILVER RARE,"/images/temari__great_war_ninja__by_masonengine_d9q918b.png"
167,"Temari (Part 1)",70,BRONZE,"/images/temari__part_1___second_suit__by_masonengine_dcat4t6.png"
168,"Tenten (Shippuden)",74,BRONZE,"/images/tenten (1).png"
169,"Tenten (2)",75,BRONZE,"/images/tenten (2).png"
170,"Tenten (Bashosen / War Arc)",78,BRONZE,"/images/tenten (3).png"
171,"Rasa (4th Kazekage)",88,SILVER RARE,"/images/the_fourth_kazekage__reanimation__by_masonengine_d847n1g.png"
172,"Gengetsu (2nd Mizukage)",90,GOLD RARE,"/images/the_second_mizukage__reanimation__by_masonengine_d8l9ntr.png"
173,"Mu (2nd Tsuchikage)",92,GOLD RARE,"/images/the_second_tsuchikage__reanimation__by_masonengine_d7to5b4.png"
174,"A (3rd Raikage)",93,GOLD RARE,"/images/the_third_raikage__reanimation__by_masonengine_d8hbt3q.png"
175,"Tobirama Senju (2nd Hokage)",95,GOLD RARE,"/images/tobirama (1).png"
176,"Tobirama (2)",75,BRONZE,"/images/tobirama (2).png"
177,"Tobi (Akatsuki)",80,SILVER RARE,"/images/tobi_by_masonengine_d8lxobr.png"
178,"Tobi Great War Ninja",75,BRONZE,"/images/tobi__great_war_ninja__by_masonengine_d8ctsty.png"
179,"Toneri Otsutsuki",75,BRONZE,"/images/toneri_otsutsuki.png"
180,"Torune Aburame",78,BRONZE,"/images/torune.png"
181,"Tsunade Senju (5th Hokage)",92,GOLD RARE,"/images/tsunade.png"
182,"Utakata (Six-Tails Jinchuriki)",86,SILVER RARE,"/images/utakata_by_masonengine_d98p98e.png"
183,"Utakata Reanimation",75,BRONZE,"/images/utakata__reanimation__by_masonengine_daockmw.png"
184,"Yagura (4th Mizukage)",87,SILVER RARE,"/images/yagura_by_masonengine_dc6456b.png"
185,"Yagura Reanimation",75,BRONZE,"/images/yagura__reanimation__by_masonengine_dc6458n.png"
186,"Yamato (Wood Release)",85,SILVER RARE,"/images/yamato (2).png"
187,"Yugito Nii (Two-Tails Jinchuriki)",86,SILVER RARE,"/images/yugito_nii_by_masonengine_dc6hyy1.png"
188,"Yugito Nii Reanimation",75,BRONZE,"/images/yugito_nii__reanimation__by_masonengine_dc6hz09.png"
189,"Zabuza Momochi",81,SILVER RARE,"/images/zabuza_by_masonengine_d81wxee.png"
190,"Zabuza Momochi (Reanimation)",83,SILVER RARE,"/images/zabuza__reanimation__by_masonengine_daocjrd.png"
